#,PU_LOC_ID,STATE,LGA,RA,PU,BUILDING_TYPE_ID,LAT,LONG,PU_LOC_NUM_AFFILIATIONS,PU_LOC_DESC,,,
29,AB0102008,AB,1,2,8,6,5.116104296,7.372383613,0,"located along factory rd., beside Ibeto Industries Ltd.",,,
30,AB0102009,AB,1,2,9,6,5.120275743,7.373525402,0,"located by the fence of Lever Brothers Ltd beside Nig. Breweries Ltd, Aba",,,
31,AB0102010,AB,1,2,10,6,5.120298388,7.373505349,0,"located by the fence of Lever Brothers Ltd beside Nig. Breweries Ltd, Aba",,,
32,AB0102011,AB,1,2,11,6,5.1202893,7.373510443,0,"located by the fence of Lever Brothers Ltd beside Nig. Breweries Ltd, Aba",,,
33,AB0102012,AB,1,2,12,6,5.12029764,7.373529813,0,"located by the fence of Lever Brothers Ltd beside Nig. Breweries Ltd, Aba",,,
34,AB0102013,AB,1,2,13,7,5.121404654,7.376368792,0,"located opp Atlantic Hotels Annex, on Okwu rd., Aba",,,
35,AB0102014,AB,1,2,14,7,5.121415087,7.376257081,0,"located opp Atlantic Hotels Annex, on Okwu rd., Aba",,,
36,AB0102015,AB,1,2,15,7,5.121372635,7.376343758,0,"located opp Atlantic Hotels Annex, on Okwu rd., Aba",,,
37,AB0102016,AB,1,2,16,7,5.121411335,7.376384955,0,"located opp Atlantic Hotels Annex, on Okwu rd., Aba",,,
38,AB0102017,AB,1,2,17,16,5.115823659,7.371998747,0,"located opp factory rd. junction opp Bata shoe shop, Aba",,,
39,AB0102018,AB,1,2,18,13,5.115823198,7.37197245,0,"located opp factory rd. junction opp Bata shoe shop, Aba",,,
40,AB0102019,AB,1,2,19,13,5.115828842,7.371982045,0,"located opp factory rd. junction opp Bata shoe shop, Aba",,,
41,AB0102020,AB,1,2,20,13,5.115822762,7.371993961,0,"located opp factory rd. junction opp Bata shoe shop, Aba",,,
42,AB0102021,AB,1,2,21,13,5.115822871,7.372017715,0,"located opp factory rd. junction opp Bata shoe shop, Aba",,,
43,AB0102022,AB,1,2,22,12,5.116407839,7.374228202,0,"located infront of the zonal office of Min. of Lands, Survey and Urban Planning, No. 9b Ikot Ekpene rd., Aba.",,,
44,AB0102023,AB,1,2,23,12,5.116393464,7.37422842,0,"located infront of the zonal office of Min. of Lands, Survey and Urban Planning, No. 9b Ikot Ekpene rd., Aba.",,,
45,AB0102024,AB,1,2,24,12,5.116396925,7.374221307,0,"located infront of the zonal office of Min. of Lands, Survey and Urban Planning, No. 9b Ikot Ekpene rd., Aba.",,,
46,AB0102025,AB,1,2,25,12,5.116388982,7.374240057,0,"located infront of the zonal office of Min. of Lands, Survey and Urban Planning, No. 9b Ikot Ekpene rd., Aba.",,,
47,AB0102026,AB,1,2,26,12,5.116385696,7.374233027,0,"located infront of the zonal office of Min. of Lands, Survey and Urban Planning, No. 9b Ikot Ekpene rd., Aba.",,,
48,AB0102027,AB,1,2,27,12,5.116389865,7.374223639,0,"located infront of the zonal office of Min. of Lands, Survey and Urban Planning, No. 9b Ikot Ekpene rd., Aba.",,,
49,AB0102028,AB,1,2,28,12,5.116415519,7.374242596,0,"located infront of the zonal office of Min. of Lands, Survey and Urban Planning, No. 9b Ikot Ekpene rd., Aba.",,,
50,AB0102029,AB,1,2,29,4,5.121345025,7.375003573,0,"located within the sch. premises on Ogolo rd., Aba opp Vita Foam Industries Ltd., Aba.",,,
51,AB0103001,AB,1,3,1,4,5.117893827,7.351808486,0,"located on osusu rd., Aba opp a green 2 storey building",,,
52,AB0103002,AB,1,3,2,4,5.117905266,7.351799919,0,"located on osusu rd., Aba opp a green 2 storey building",,,
53,AB0103003,AB,1,3,3,4,5.117907146,7.351797229,0,"located on osusu rd., Aba opp a green 2 storey building",,,
54,AB0103004,AB,1,3,4,4,5.11790281,7.351801227,0,"located on osusu rd., Aba opp a green 2 storey building",,,
55,AB0103005,AB,1,3,5,4,5.117900231,7.351795745,0,"located on osusu rd., Aba opp a green 2 storey building",,,
56,AB0103006,AB,1,3,6,4,5.117894101,7.351795823,0,"located on osusu rd., Aba opp a green 2 storey building",,,
57,AB0103007,AB,1,3,7,4,5.118170766,7.352386422,0,"located on faulks rd., Aba opp",,,
58,AB0103008,AB,1,3,8,4,5.118178831,7.352359154,0,"located on faulks rd., Aba opp",,,
59,AB0103009,AB,1,3,9,4,5.118190025,7.35228864,0,"located on faulks rd., Aba opp",,,
60,AB0103010,AB,1,3,10,4,5.118114553,7.35237068,0,"located on faulks rd., Aba opp",,,
61,AB0103011,AB,1,3,11,4,5.118237449,7.352299662,0,"located on faulks rd., Aba opp",,,
62,AB0103012,AB,1,3,12,4,5.11815241,7.352310267,0,"located on faulks rd., Aba opp",,,
63,AB0103013,AB,1,3,13,4,5.118223875,7.352250918,0,"located on faulks rd., Aba opp",,,
64,AB0103014,AB,1,3,14,4,5.114175889,7.365115838,0,located beside the Pedestrian Brigde at hospital rd junction opp Continental Trust Bank,,,
65,AB0103015,AB,1,3,15,4,5.114188747,7.365106685,0,located beside the Pedestrian Brigde at hospital rd junction opp Continental Trust Bank,,,
66,AB0103016,AB,1,3,16,4,5.114200844,7.365147988,0,located beside the Pedestrian Brigde at hospital rd junction opp Continental Trust Bank,,,
67,AB0103017,AB,1,3,17,4,5.114264159,7.365094255,0,located beside the Pedestrian Brigde at hospital rd junction opp Continental Trust Bank,,,
68,AB0103018,AB,1,3,18,4,5.11420936,7.365070229,0,located beside the Pedestrian Brigde at hospital rd junction opp Continental Trust Bank,,,
69,AB0103019,AB,1,3,19,4,5.11420327,7.365120649,0,located beside the Pedestrian Brigde at hospital rd junction opp Continental Trust Bank,,,
70,AB0103020,AB,1,3,20,4,5.114203272,7.365126542,0,located beside the Pedestrian Brigde at hospital rd junction opp Continental Trust Bank,,,
71,AB0103021,AB,1,3,21,4,5.114233078,7.365073306,0,located beside the Pedestrian Brigde at hospital rd junction opp Continental Trust Bank,,,
72,AB0104001,AB,1,4,1,4,5.120039571,7.351154158,0,"located behind City Trade House, No. 62 faulks rd., opp His Stripes Specialist Hospital, Aba",,,
73,AB0104002,AB,1,4,2,4,5.120043581,7.351159237,0,"located behind City Trade House, No. 62 faulks rd., opp His Stripes Specialist Hospital, Aba",,,
74,AB0104003,AB,1,4,3,4,5.120038653,7.351152532,0,"located behind City Trade House, No. 62 faulks rd., opp His Stripes Specialist Hospital, Aba",,,
75,AB0104004,AB,1,4,4,4,5.120038116,7.351176781,0,"located behind City Trade House, No. 62 faulks rd., opp His Stripes Specialist Hospital, Aba",,,
76,AB0104005,AB,1,4,5,4,5.120033705,7.351184489,0,"located behind City Trade House, No. 62 faulks rd., opp His Stripes Specialist Hospital, Aba",,,
77,AB0104006,AB,1,4,6,4,5.120045107,7.351146122,0,"located behind City Trade House, No. 62 faulks rd., opp His Stripes Specialist Hospital, Aba",,,
78,AB0104007,AB,1,4,7,4,5.120048236,7.351146938,0,"located behind City Trade House, No. 62 faulks rd., opp His Stripes Specialist Hospital, Aba",,,
79,AB0104008,AB,1,4,8,4,5.125059715,7.347766341,0,"located at No. 63 Nwala str., Aba beside Life Gate Christian Ministries, Aba.",,,
80,AB0104009,AB,1,4,9,4,5.125055599,7.347836609,0,"located at No. 63 Nwala str., Aba beside Life Gate Christian Ministries, Aba.",,,
81,AB0104010,AB,1,4,10,4,5.12505209,7.347756351,0,"located at No. 63 Nwala str., Aba beside Life Gate Christian Ministries, Aba.",,,
82,AB0104011,AB,1,4,11,4,5.12505266,7.347808728,0,"located at No. 63 Nwala str., Aba beside Life Gate Christian Ministries, Aba.",,,
83,AB0104012,AB,1,4,12,4,5.125059195,7.347783132,0,"located at No. 63 Nwala str., Aba beside Life Gate Christian Ministries, Aba.",,,
84,AB0104013,AB,1,4,13,4,5.125056428,7.347759887,0,"located at No. 63 Nwala str., Aba beside Life Gate Christian Ministries, Aba.",,,
85,AB0104014,AB,1,4,14,4,5.125064825,7.347758596,0,"located at No. 63 Nwala str., Aba beside Life Gate Christian Ministries, Aba.",,,
86,AB0104015,AB,1,4,15,4,5.125056923,7.347758023,0,"located at No. 63 Nwala str., Aba beside Life Gate Christian Ministries, Aba.",,,
87,AB0104016,AB,1,4,16,4,5.11525555,7.358206498,0,"located at No. 26-27 Ugorji str., off 57 osusu rd., Aba",,,
88,AB0104017,AB,1,4,17,4,5.115270286,7.358190715,0,"located at No. 26-27 Ugorji str., off 57 osusu rd., Aba",,,
89,AB0104018,AB,1,4,18,4,5.115271253,7.358193087,0,"located at No. 26-27 Ugorji str., off 57 osusu rd., Aba",,,
90,AB0105001,AB,1,5,1,4,5.109463641,7.344427046,0,"located at No. 10-12 New market rd., Aba",,,
91,AB0105002,AB,1,5,2,4,5.109468869,7.344420813,0,"located at No. 10-12 New market rd., Aba",,,
92,AB0105003,AB,1,5,3,4,5.109461954,7.34442725,0,"located at No. 10-12 New market rd., Aba",,,
93,AB0105004,AB,1,5,4,4,5.10945686,7.344431707,0,"located at No. 10-12 New market rd., Aba",,,
94,AB0105005,AB,1,5,5,4,5.109460998,7.344415971,0,"located at No. 10-12 New market rd., Aba",,,
95,AB0105006,AB,1,5,6,4,5.109469444,7.344407304,0,"located at No. 10-12 New market rd., Aba",,,
96,AB0105007,AB,1,5,7,4,5.114100368,7.351148721,0,"located on Nwagba str., opp Redeemer Pentecostal Church, Aba.",,,
97,AB0105008,AB,1,5,8,4,5.114102083,7.351142772,0,"located on Nwagba str., opp Redeemer Pentecostal Church, Aba.",,,
98,AB0105009,AB,1,5,9,4,5.114099052,7.351147352,0,"located on Nwagba str., opp Redeemer Pentecostal Church, Aba.",,,
99,AB0105010,AB,1,5,10,4,5.114103494,7.351159606,0,"located on Nwagba str., opp Redeemer Pentecostal Church, Aba.",,,
100,AB0105011,AB,1,5,11,4,5.114098837,7.351157427,0,"located on Nwagba str., opp Redeemer Pentecostal Church, Aba.",,,
101,AB0105012,AB,1,5,12,4,5.110966732,7.352363739,0,"located opp No. 32a St. Eugene's str., Aba",,,
102,AB0105013,AB,1,5,13,4,5.111740954,7.352688789,0,"located within the same cpd as St. Eugene's Cath. church, Aba.",,,
103,AB0105014,AB,1,5,14,4,5.111742094,7.352689055,0,"located within the same cpd as St. Eugene's Cath. church, Aba.",,,
104,AB0105015,AB,1,5,15,4,5.111741044,7.352684628,0,"located within the same cpd as St. Eugene's Cath. church, Aba.",,,
105,AB0105016,AB,1,5,16,4,5.111745033,7.352681134,0,"located within the same cpd as St. Eugene's Cath. church, Aba.",,,
106,AB0105017,AB,1,5,17,4,5.111741776,7.352678033,0,"located within the same cpd as St. Eugene's Cath. church, Aba.",,,
107,AB0105018,AB,1,5,18,4,5.111730077,7.352673884,0,"located within the same cpd as St. Eugene's Cath. church, Aba.",,,
108,AB0105019,AB,1,5,19,9,5.11402616,7.354907865,0,"located at No. 4 St. Eugene's str., Aba",,,
109,AB0106001,AB,1,6,1,9,5.08593667,7.329893421,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
110,AB0106002,AB,1,6,2,9,5.085932518,7.329885143,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
111,AB0106003,AB,1,6,3,9,5.085941381,7.329900742,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
112,AB0106004,AB,1,6,4,9,5.085939081,7.329897417,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
113,AB0106005,AB,1,6,5,9,5.085933642,7.329892228,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
114,AB0106006,AB,1,6,6,9,5.085932574,7.329893139,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
115,AB0106007,AB,1,6,7,9,5.085933695,7.32989493,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
116,AB0106008,AB,1,6,8,9,5.085934265,7.329895693,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
117,AB0106009,AB,1,6,9,9,5.085937134,7.329886409,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
118,AB0106010,AB,1,6,10,9,5.085941414,7.329889049,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
119,AB0106011,AB,1,6,11,9,5.085940439,7.32989602,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
120,AB0106012,AB,1,6,12,9,5.085929845,7.329899861,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
121,AB0106013,AB,1,6,13,9,5.085939179,7.329901868,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
122,AB0106014,AB,1,6,14,9,5.085928917,7.329893857,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
123,AB0106015,AB,1,6,15,9,5.085941034,7.329915181,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
124,AB0106016,AB,1,6,16,9,5.085932314,7.329913306,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
125,AB0106017,AB,1,6,17,9,5.08592581,7.32990156,0,"located opp O.G Tailors, 220 Uratta rd., Aba.",,,
126,AB0106018,AB,1,6,18,4,5.084647402,7.332348101,0,"located within the sch. cpd. on Stella Maris ave. off Uratta rd., Aba",,,
127,AB0106019,AB,1,6,19,4,5.084650557,7.332359497,0,"located within the sch. cpd. on Stella Maris ave. off Uratta rd., Aba",,,
128,AB0106020,AB,1,6,20,4,5.08463895,7.332357687,0,"located within the sch. cpd. on Stella Maris ave. off Uratta rd., Aba",,,
129,AB0106021,AB,1,6,21,4,5.084637363,7.332368192,0,"located within the sch. cpd. on Stella Maris ave. off Uratta rd., Aba",,,
130,AB0106022,AB,1,6,22,4,5.08464358,7.332384439,0,"located within the sch. cpd. on Stella Maris ave. off Uratta rd., Aba",,,
131,AB0106023,AB,1,6,23,4,5.084631474,7.332379156,0,"located within the sch. cpd. on Stella Maris ave. off Uratta rd., Aba",,,
132,AB0106024,AB,1,6,24,4,5.084636316,7.332381687,0,"located within the sch. cpd. on Stella Maris ave. off Uratta rd., Aba",,,
133,AB0106025,AB,1,6,25,4,5.084629797,7.3323686,0,"located within the sch. cpd. on Stella Maris ave. off Uratta rd., Aba",,,
134,AB0106026,AB,1,6,26,4,5.08464292,7.332385384,0,"located within the sch. cpd. on Stella Maris ave. off Uratta rd., Aba",,,
135,AB0107001,AB,1,7,1,4,5.115281439,7.365293381,0,"located within the same compound as Okigwe rd. pry. sch., behind Golf Club, Aba",,,
136,AB0107002,AB,1,7,2,4,5.115285276,7.36529185,0,"located within the same compound as Okigwe rd. pry. sch., behind Golf Club, Aba",,,
137,AB0107003,AB,1,7,3,4,5.115290376,7.365304708,0,"located within the same compound as Okigwe rd. pry. sch., behind Golf Club, Aba",,,
138,AB0107004,AB,1,7,4,4,5.115299121,7.365303077,0,"located within the same compound as Okigwe rd. pry. sch., behind Golf Club, Aba",,,
139,AB0107005,AB,1,7,5,4,5.115295141,7.36529159,0,"located within the same compound as Okigwe rd. pry. sch., behind Golf Club, Aba",,,
140,AB0107006,AB,1,7,6,4,5.11528487,7.365303372,0,"located within the same compound as Okigwe rd. pry. sch., behind Golf Club, Aba",,,
141,AB0107007,AB,1,7,7,4,5.115283079,7.365296166,0,"located within the same compound as Okigwe rd. pry. sch., behind Golf Club, Aba",,,
142,AB0107008,AB,1,7,8,4,5.115283018,7.36529713,0,"located within the same compound as Okigwe rd. pry. sch., behind Golf Club, Aba",,,
143,AB0107009,AB,1,7,9,4,5.115285183,7.365297345,0,"located within the same compound as Okigwe rd. pry. sch., behind Golf Club, Aba",,,
144,AB0107010,AB,1,7,10,4,5.115285331,7.36528577,0,"located within the same compound as Okigwe rd. pry. sch., behind Golf Club, Aba",,,
145,AB0107011,AB,1,7,11,4,5.115289707,7.365299896,0,"located within the same compound as Okigwe rd. pry. sch., behind Golf Club, Aba",,,
146,AB0107012,AB,1,7,12,5,5.120660221,7.366548699,0,"located beside Aba Sports Club on No. 1 Club Rd., Aba.",,,
147,AB0107013,AB,1,7,13,5,5.120648042,7.366571409,0,"located beside Aba Sports Club on No. 1 Club Rd., Aba.",,,
148,AB0107014,AB,1,7,14,5,5.120648819,7.366551451,0,"located beside Aba Sports Club on No. 1 Club Rd., Aba.",,,
149,AB0107015,AB,1,7,15,5,5.120649548,7.366561255,0,"located beside Aba Sports Club on No. 1 Club Rd., Aba.",,,
150,AB0107016,AB,1,7,16,5,5.120649889,7.366560389,0,"located beside Aba Sports Club on No. 1 Club Rd., Aba.",,,
151,AB0107017,AB,1,7,17,16,5.124484671,7.355891255,0,"located opp Eronwu str. junction by Brass rd., Aba",,,
152,AB0107018,AB,1,7,18,16,5.124476194,7.355889916,0,"located opp Eronwu str. junction by Brass rd., Aba",,,
153,AB0107019,AB,1,7,19,16,5.124473565,7.355891216,0,"located opp Eronwu str. junction by Brass rd., Aba",,,
154,AB0107020,AB,1,7,20,16,5.124479558,7.35589192,0,"located opp Eronwu str. junction by Brass rd., Aba",,,
155,AB0107021,AB,1,7,21,16,5.12447903,7.355875569,0,"located opp Eronwu str. junction by Brass rd., Aba",,,
156,AB0107022,AB,1,7,22,16,5.124479139,7.355887413,0,"located opp Eronwu str. junction by Brass rd., Aba",,,
157,AB0107023,AB,1,7,23,16,5.124479793,7.35588218,0,"located opp Eronwu str. junction by Brass rd., Aba",,,
158,AB0107024,AB,1,7,24,16,5.124492095,7.355888414,0,"located opp Eronwu str. junction by Brass rd., Aba",,,
159,AB0108001,AB,1,8,1,4,5.124155494,7.386866343,0,"located along New Umuahia rd., Aba opp NOA Private schools Sign post",,,
160,AB0108002,AB,1,8,2,4,5.124175603,7.386865977,0,"located along New Umuahia rd., Aba opp NOA Private schools Sign post",,,
161,AB0108003,AB,1,8,3,4,5.124150946,7.386890433,0,"located along New Umuahia rd., Aba opp NOA Private schools Sign post",,,
162,AB0108004,AB,1,8,4,4,5.124156302,7.386895311,0,"located along New Umuahia rd., Aba opp NOA Private schools Sign post",,,
163,AB0108005,AB,1,8,5,4,5.124194065,7.386815912,0,"located along New Umuahia rd., Aba opp NOA Private schools Sign post",,,
164,AB0108006,AB,1,8,6,4,5.124160456,7.386850398,0,"located along New Umuahia rd., Aba opp NOA Private schools Sign post",,,
165,AB0108007,AB,1,8,7,4,5.124185904,7.386855254,0,"located along New Umuahia rd., Aba opp NOA Private schools Sign post",,,
166,AB0108008,AB,1,8,8,9,5.11746226,7.394611909,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
167,AB0108009,AB,1,8,9,9,5.117443395,7.394681426,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
168,AB0108010,AB,1,8,10,9,5.117442898,7.394642352,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
169,AB0108011,AB,1,8,11,9,5.117441478,7.394643721,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
170,AB0108012,AB,1,8,12,9,5.117447259,7.394639016,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
171,AB0108013,AB,1,8,13,9,5.117449005,7.39460598,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
172,AB0108014,AB,1,8,14,9,5.117450098,7.394616488,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
173,AB0108015,AB,1,8,15,9,5.117434999,7.394684524,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
174,AB0108016,AB,1,8,16,9,5.117461422,7.39459871,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
175,AB0108017,AB,1,8,17,9,5.117445957,7.394641064,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
176,AB0108018,AB,1,8,18,9,5.117459991,7.394625035,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
177,AB0108019,AB,1,8,19,9,5.117455574,7.39463157,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
178,AB0108020,AB,1,8,20,9,5.11745889,7.394621224,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
179,AB0108021,AB,1,8,21,9,5.117446345,7.394638393,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
180,AB0108022,AB,1,8,22,9,5.117451754,7.394620618,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
181,AB0108023,AB,1,8,23,9,5.117430844,7.394738803,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
182,AB0108024,AB,1,8,24,9,5.117457602,7.394607455,0,"located opp the palace of HRH Eze Samuel Azuka Ogbonna, Ola 1 of  Umuola Okpulor community",,,
183,AB0108025,AB,1,8,25,16,5.132157088,7.386757297,0,located opp umuola egbelu daily market,,,
184,AB0109001,AB,1,9,1,4,5.117901086,7.35181437,0,"located behind BTC sch. along osusu rd. off Faulks rd., Aba",,,
185,AB0109002,AB,1,9,2,4,5.11789858,7.351812975,0,"located behind BTC sch. along osusu rd. off Faulks rd., Aba",,,
186,AB0109003,AB,1,9,3,4,5.117894727,7.351812911,0,"located behind BTC sch. along osusu rd. off Faulks rd., Aba",,,
187,AB0109004,AB,1,9,4,4,5.117848825,7.351703413,0,"located behind BTC sch. along osusu rd. off Faulks rd., Aba",,,
188,AB0109005,AB,1,9,5,4,5.117842728,7.351681787,0,"located behind BTC sch. along osusu rd. off Faulks rd., Aba",,,
189,AB0109006,AB,1,9,6,4,5.117827996,7.351653756,0,"located behind BTC sch. along osusu rd. off Faulks rd., Aba",,,
190,AB0109007,AB,1,9,7,4,5.117888303,7.352354307,0,"located opp No. 62 Faulks rd., Aba",,,
191,AB0109008,AB,1,9,8,4,5.117912876,7.352360923,0,"located opp No. 62 Faulks rd., Aba",,,
192,AB0109009,AB,1,9,9,4,5.117907641,7.352361781,0,"located opp No. 62 Faulks rd., Aba",,,
193,AB0109010,AB,1,9,10,4,5.117916252,7.35236432,0,"located opp No. 62 Faulks rd., Aba",,,
194,AB0109011,AB,1,9,11,4,5.117920471,7.352369119,0,"located opp No. 62 Faulks rd., Aba",,,
195,AB0109012,AB,1,9,12,4,5.117905388,7.352355748,0,"located opp No. 62 Faulks rd., Aba",,,
196,AB0109013,AB,1,9,13,4,5.117877324,7.35235875,0,"located opp No. 62 Faulks rd., Aba",,,
197,AB0109014,AB,1,9,14,6,5.112374716,7.337266216,0,"located beside ICCON AQUARIUM & CRAFT GALLERY, 207 faulks rd., Aba",,,
198,AB0109015,AB,1,9,15,6,5.112434805,7.337266199,0,"located beside ICCON AQUARIUM & CRAFT GALLERY, 207 faulks rd., Aba",,,
199,AB0109016,AB,1,9,16,6,5.112430944,7.337276892,0,"located beside ICCON AQUARIUM & CRAFT GALLERY, 207 faulks rd., Aba",,,
200,AB0109017,AB,1,9,17,6,5.112487354,7.337254792,0,"located beside ICCON AQUARIUM & CRAFT GALLERY, 207 faulks rd., Aba",,,
201,AB0109018,AB,1,9,18,6,5.112435649,7.337271318,0,"located beside ICCON AQUARIUM & CRAFT GALLERY, 207 faulks rd., Aba",,,
202,AB0109019,AB,1,9,19,6,5.112425392,7.337262866,0,"located beside ICCON AQUARIUM & CRAFT GALLERY, 207 faulks rd., Aba",,,
203,AB0109020,AB,1,9,20,6,5.112428782,7.337264825,0,"located beside ICCON AQUARIUM & CRAFT GALLERY, 207 faulks rd., Aba",,,
204,AB0109021,AB,1,9,21,4,5.109556071,7.340364383,0,,,,
205,AB0109022,AB,1,9,22,4,5.109557094,7.340364816,0,"located at No. 42 new mrkt rd., aba",,,
